SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFD2005,数据挖掘中聚类算法的比较研究,刘泉凤;陆蓓,浙江水利水电专科学校;杭州电子科技大学计算机学院 浙江杭州310018杭州电子科技大学计算机学院浙江杭州310018 ;浙江杭州310018,浙江水利水电专科学校学报,数据挖掘;;聚类方法;;BIRCH法;;CURE法,"聚类是数据挖掘领域中的一个重要研究课题.本文首先综合提出评价聚类算法好坏的八个标准,然后在此标准基础上,对数据挖掘中的常用算法进行分类分析比较,并得出比较结果,以使人们在实际应用中能方便、快捷地找到最好的聚类算法以解决实际问题.",2005/6/25,2005
CJFD2005,文本挖掘技术研究,薛为民;陆玉昌;,北京联合大学自动化学院;清华大学计算机科学与技术系 北京100101;清华大学计算机科学与技术系;北京100084;北京100084,北京联合大学学报(自然科学版),文本挖掘;;数据挖掘;;Web文本挖掘;;文本挖掘模型,"文本挖掘是数据挖掘的重要内容之一,其应用十分广泛。对文本挖掘技术的基本概念和理论进行系统地归纳总结,首先给出了数据挖掘、文本挖掘和Web文本挖掘的基本概念及主要研究方向,然后分析了文本挖掘的过程和关键技术,最后对文本挖掘技术进行总结和展望。",2005/12/20,2005
CJFD2005,数据挖掘在智能交通系统中的应用,张小利;陈莉;,西北大学信息科学与技术学院;西北大学信息科学与技术学院 陕西西安710069;陕西西安710069,西北大学学报(自然科学版),数据挖掘;;关联规则;;智能交通;;挖掘模式,"目的将数据挖掘技术应用于智能交通系统中,利用挖掘得到的模式对交通管理决策提供有效支持。方法针对交通数据库系统中数据的特点,提出了基于概化的数据预处理方法,并在此基础上,采用基于树模型的关联规则挖掘算法进行关联规则挖掘。结果获得了良好的挖掘模式,实际应用说明了挖掘结果的有效性及可行性。结论数据挖掘技术在智能交通系统中的成功应用,为交通管理决策提供了有效支持,且提出的方法易于实现,便于推广。",2005/12/25,2005
CJFD2005,基于遗传算法的数据挖掘技术应用,王东龙;李茂青,厦门大学计算机与信息工程学院;厦门大学计算机与信息工程学院 福建厦门361005 ;福建厦门361005,南昌大学学报(工科版),遗传算法;;数据挖掘;;最优客户群体;;模型,"本文对数据挖掘进行了概述,阐明了数据挖掘的概念、数据挖掘在商业中的意义.提出了数据挖掘技术中的一个重要算法———遗传算法的基本原理以及遗传算法在数据挖掘技术中的地位.结合大型商场管理系统提出了一种基于遗传算法的最优客户群体数据挖掘算法,以实例说明了应用遗传算法中需要注意的一些问题,并讨论了数据挖掘技术所面临的问题和挑战.",2005/3/30,2005
CJFD2005,关联规则挖掘算法综述,毕建欣;张岐山,福州大学管理学院;福州大学管理学院 福州350002 ;福州350002,中国工程科学,数据挖掘;;关联规则;;算法;;综述,"介绍了关联规则挖掘算法的基本原理,并按照挖掘中涉及到的变量数目(维数)、数据的抽象层次和处理变量的类别(布尔型和数值型) ,依次对关联规则挖掘算法的研究进行综述,并对一些典型的算法进行分析和比较,最后展望了关联规则挖掘算法的研究方向。",2005/4/30,2005
CDFD2005,分类关联规则归纳算法及应用研究,许孝元,,华南理工大学,数据挖掘;机器学习;分类关联规则;分类;遗传算法;知识要点;原子关联规则分类法;自适应置信度阈值;相对支持度阈值;大规模数据挖掘,"随着社会信息化程度的提高,数据量呈指数增长。从大量数据中挖掘有价值的知识在当今信息时代具有重要意义。 关联规则挖掘是数据挖掘领域中的重要课题之一。特别是分类关联规则既能用于概念描述又能用于分类预测与决策,在数据挖掘中发挥重要作用。目前分类关联规则挖掘技术在学术界与产业界受到广泛关注。自1998 年出现第一个基于关联的分类算法(CBA)以来,关联分类算法的设计及应用研究一直非常活跃。目前,在关联分类问题上存在的共识是:关联分类的准确度总体上显著地高于传统的决策树分类,但关联分类存在的主要问题是产生太多的关联规则,导致计算速度慢、内存开销大、分类模型难以理解。 ...",2005/4/16,2005
CJFD2012,数据挖掘技术在电力设备状态检修中的应用,杨国庆;张宇;,上海电力学院电力与自动化工程学院;上海市电力公司技术与发展中心;,上海电力学院学报,数据挖掘技术;;电力设备;;状态检修,"介绍了数据挖掘的基本过程、方法及在我国电力系统的应用现状;分析了数据挖掘在电力设备状态检修和设备故障诊断中的应用状况,给出了基于数据挖掘的电力设备状态评估模型,并以关联规则方法为例进行了分析.",2012/4/15,2012
CJFD2012,知识建模和数据挖掘融合的粗糙度预测新方法,翟敬梅;应灿;徐晓;,华南理工大学机械与汽车工程学院;,计算机集成制造系统,粗糙度预测;;数据挖掘;;知识建模;;粗糙集;;不可分辨—函数关系,"针对当前制造过程海量信息和定性定量知识并存的特性,提出知识建模和数据挖掘技术相融合的建模思想。基于粗糙集模型,首次建立知识的粗糙集函数关系,并构建基于""不可分辨—函数""关系的新型粗糙集模型及预测方法,用以预测加工表面粗糙度。新模型将已有知识嵌入到数据挖掘模型中,其信息划分更精确,获取的决策规则蕴含的知识更丰富,故预测精度更高,预测范围更广。与其他预测模型相比,所建模型仅利用已有知识和信息,不需要建模者额外设计和设定模型的结构形式和参数。实验结果也表明,所建模型在预测有效性和预测精度上均有较好表现。",2012/5/15,2012
CMFD2014,基于数据挖掘的量化投资策略实证研究,李慧兰,,浙江大学,模式挖掘;;模式特征;;模式匹配;;量化投资,"现实生活中,股价序列的走势既有一定的随机性,也有一定的趋势性,把握股价序列未来的走势将会对投资者构建合理的投资策略具有很好的指导性。不同于传统的基本面分析法和利用抽样技术建立数学模型的投资分析方法,本文提出了一种基于挖掘股价序列的模式特征来预测股票在未来一段时间内的收益率情况的方法,并据此判断可能存在的投资机会。 文章中首先定义了股价序列的基础模式,挖掘出股价序列中所有的基础模式,建立基础模式库。然后给出了一种股价序列间距离的定义,度量股价序列间的相似性,根据数据挖掘技术中的基于最短距离的层次聚类分析法挖掘出股价序列中频繁出现的基本模式特征及复合模式特征,构建基本特征模式库和复合模式特征...",2014/5/7,2014
cjfd2006,数据挖掘技术在房地产客户关系管理系统中的应用,张蓉;,广东商学院信息学院 广州510320,现代情报,数据仓库;;数据挖掘;;客户关系管理(CRM),"由于企业越来越重视客户关系管理(CRM),利用数据挖掘技术实施与优化CRM系统正逐渐成为计算机应用领域的一个研究热门。本文对数据挖掘技术在房地产CRM系统中应用的方式和方法进行了详细探讨,并给出了一个成功实施的案例。",2006/6/25,2006
