SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFD2009,一种新的增量式关联规则数据挖掘方法研究,王晗;孔令富;,燕山大学经济管理学院;燕山大学信息科学与工程学院;,仪器仪表学报,数据挖掘;;映射;;增量事务,"本文介绍了一种实用的增量式关联规则数据挖掘方法,它映射数据挖掘空间到图像空间,并利用数字图像显示及存储的特点,结合增量事务的挖掘过程进行挖掘。该方法在一定程度上提高了关联规则数据挖掘的实时性,对于数据集及支持度的变化具有很好的适应性。通过铝电解现场采集数据挖掘实践证明,此增量式挖掘方法简单有效,具有很强的实用性;同时为提高铝电解生产的管理水平,提供了一种对工人操作可靠性、系统控制稳定性衡量的客观评价手段。",2009/2/15,2009
CJFD2009,面向数据库应用的隐私保护研究综述,周水庚;李丰;陶宇飞;肖小奎;,复旦大学计算机科学技术学院;复旦大学上海市智能信息处理重点实验室;香港中文大学计算机科学与工程系;美国康乃尔大学计算机科学系;,计算机学报,数据库应用;;隐私保护;;数据挖掘;;数据发布;;随机化;;多方安全计算;;匿名化,"随着数据挖掘和数据发布等数据库应用的出现与发展,如何保护隐私数据和防止敏感信息泄露成为当前面临的重大挑战.隐私保护技术需要在保护数据隐私的同时不影响数据应用.根据采用技术的不同,出现了数据失真、数据加密、限制发布等隐私保护技术.文中对隐私保护领域已有研究成果进行了总结,对各类隐私保护技术的基本原理、特点进行了阐述,还详细介绍了各类技术的典型应用,并重点介绍了当前该领域的研究热点:基于数据匿名化的隐私保护技术.在对已有技术深入对比分析的基础上,指出了隐私保护技术的未来发展方向.",2009/5/15,2009
CJFD2009,基于数据挖掘技术的教学评估智能辅助决策平台的设计与实现,丁卫平;王杰华;管致锦;,南通大学计算机科学与技术学院;,电化教育研究,数据挖掘;;教学评估;;智能辅助平台;;决策支持系统,"数据挖掘技术作为计算机智能科学研究的一个重要分支,是近几年来热门的研究方向。本文在现有教学评估系统研究的基础上,重点论述了基于数据挖掘技术的教学评估智能辅助决策平台(TEIA)设计的相关方法,并对该平台的应用情况进行了分析,结果表明该平台能智能化提取出隐藏在评估数据中有用的规律和知识,为教学评估提供决策支持,这对教学评估向计算机智能化方向的发展具有较好的推动作用,该平台具有广阔的发展和应用前景。",2009/4/1,2009
CJFD2011,在不确定数据集上挖掘优化的概率干预策略,王悦;唐常杰;杨宁;张悦;李红军;郑皎凌;朱军;,四川大学计算机学院;高可信软件技术教育部重点实验室(北京大学);北京大学信息科学技术学院;四川大学华西医学院中国出生缺陷监测中心;,软件学报,不确定数据;;概率干预策略;;策略评价;;数据挖掘;;海量数据分析,"提出了不确定干预分析模型,主要工作包括:(1)建立了用于多维不确定数据分析的不确定监测点模型(uncertain surveillance);(2)建立了基于不确定监测点的不确定干预策略及挖掘评价算法;(3)在真实数据及仿真数据上对所提出的两种算法作了大量实验比较,验证了所提出的干预策略评价优化算法具有较高精度,效率比朴素方法高出3个数量级,适合在实际系统中处理海量干预评价.",2011/2/15,2011
CJFD2011,关联规则挖掘的Apriori算法综述,赵洪英;蔡乐才;李先杰;,四川理工学院电子与信息工程学院;四川理工学院计算机学院;,四川理工学院学报(自然科学版),数据挖掘;;关联规则;;Apriori算法;;综述,"关联规则挖掘是数据挖掘研究领域中的一个重要任务,旨在挖掘事务数据库中有意义的关联。随着大量数据不停的收集和存储,从数据库中挖掘关联规则显得越来越有必要性,关联规则挖掘的Apriori算法是数据库挖掘的最经典算法并得到广泛应用,在介绍关联规则挖掘和Apriori算法的基础上,发现Apriori算法存在着产生候选项目集效率低和频繁扫描数据等缺点。综述了Apriori算法的主要优化方法,并指出了Apriori算法在实际中的应用领域,提出了未来Apriori算法的研究方向和应用发展趋势。",2011/2/20,2011
CJFD2011,基于时空分析的复杂交通流数据挖掘算法,王涛;王俊峰;罗积玉;兰时勇;,四川大学计算机学院;,四川大学学报(工程科学版),流数据挖掘;;时空分析;;交通流模型,"为了建立一种易于计算机实现的线性算法来进行交通流数据挖掘,同时建立更加精确的路段交通流模型,通过分析复杂交通数据所特有的流特征和时空特征提出了一种新的交通流数据挖掘算法。首先采用时空滑动窗口数据模型降低了算法的时空复杂度,并实现了动态挖掘;通过对数据流进行聚类分析发现彼此间相似的数据流,并按时段分簇;对每一簇通过主成分分析法剔除非关键变量,最后使用分时段多元线性回归方程构建兴趣模式的表达式,该算法为动态算法,交通实测数据实验证明模型的拟合精度较高,拟合值与真值的平均绝对误差值控制在9秒以内,平均相对误差值控制在5%以内,综合各个时段来看,预测的准确度都在90%以上。",2011/9/20,2011
CJFD2011,国内图书馆数据挖掘技术实践应用进展分析,冯研;王馨;,大连医科大学图书馆;,图书馆学研究,数据挖掘;;图书馆;;实践应用,"数据挖掘技术近几年在图书馆行业得到不断广泛的应用,文章通过文献计量学、研究方向和算法、应用软件、数据处理和选择及技术应用详情等方面分析图书馆在数据挖掘实践应用方面的进展情况。",2011/10/23,2011
CDFD2015,时间序列数据分类、检索方法及应用研究,郑毅,,中国科学技术大学,时间序列分类;;时间序列检索;;时间序列表示和分析;;卷积神经网络;;深度学习;;地震震源参数机制解估计;;股票市场反转点预测;;信息检索;;模式识别;;特征学习;;距离度量学习,"时间序列数据是一类重要的具有时序特征的数据对象。时间序列数据可以通过科学应用以及其他商业应用(例如,金融领域)方便的获取得到。一个时间序列是一组按照时间先后顺序排列好的数据采样观察值。具体地,时间序列数据的性质包括：数据规模大(大数据),高维度以及流数据特性(数据更新连续)。此外,时间序列数据采样点具有连续性和数值特性,整个时间序列可以被看成是一个整体的数据对象而非每个单独具体的数值采样点。由于时间序列可以方便的采集得到,大量的时间序列数据可以用于科学研究和深入的数据挖掘。在过去十年中,大量的科学工作者致力于时间序列数据挖掘工作,并取得了很多有效的成果。与此同时,由于时间序列数据的复杂特性,实...",2015/5/1,2015
CDFD2004,粗糙集扩展模型及其在数据挖掘中的应用研究,赛英,,中国人民解放军国防科学技术大学,粗糙集;数据挖掘;粗糙集扩展模型;有序规则;排序,数据挖掘和知识发现是从数据中获取知识的一种新技术。粗糙集作为一种处理不完全、不精确及不确定信息的有效方法，在数据挖掘和知识发现领域大有用武之地。粗糙集方法的成功应用很大程度上依赖于其理论的完善，只有深入地研究粗糙集的理论体系，才能将之更有效地应用到实际领域。本文以国家自然科学基金项目“管理决策中数据仓库与数据挖掘新技术研究”为背景，从理论和应用两个方面较全面和系统地阐述了这一理论的研究内容和方法。完成的工作和取得的创新性成果在于： 经过对粗糙集理论的深入研究，作者找到了粗糙集与模态逻辑、模糊集、代数系统和区间集代数等抽象理论之间的关系，一是粗糙...,2002/6/1,2002
CDFD2005,基于自然计算的模糊聚类新算法研究,李洁,,西安电子科技大学,数据挖掘;模糊聚类分析;自然计算;数值特征;类属特征;克隆选择;禁忌克隆;模糊识别球;聚类有效性,数据挖掘技术是近年来国际上在信息决策领域最前沿和最活跃的研究方向之一。作为数据挖掘的一种强有力的分析工具，聚类分析得到了人们的广泛关注。聚类分析是多元统计分析的方法之一，也是统计模式识别中非监督模式分类的一个重要分支，近二十年来得到了迅猛的发展，有许多聚类分析新算法不断被提出。 自然计算是目前新兴的一类计算方法，它以自然界，特别是生物体的功能、特点和作用机理为基础设计出的计算模型。它具有自适应、自组织、自学习等能力，能够解决传统计算方法难于解决的许多复杂问题，因而近年来成为研究的热点，并在诸多领域中得到了广泛的应用。 针对现有聚类分析算法在数...,2004/10/1,2004
