SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFD2013,学习分析技术:挖掘大数据时代下教育数据的价值,魏顺平;,国家开放大学现代远程教育研究所;,现代教育技术,大数据时代;;教育数据;;学习分析;;关键技术;;分析模式,"当前,大数据时代已经来临,教育领域同样积累了海量数据。教育领域已经部署了众多的学习管理系统,在这些软件系统中存储着海量的学习者信息及学习过程数据。如何利用这些数据,使这些数据转变为信息、知识,并为教学决策、学习优化服务,已成为教育工作者以及学习者们所关注的内容。学习分析技术有助于发挥学习过程数据的价值,使数据成为审慎决策、过程优化的重要依据。该文介绍了国内外学习分析技术研究现状,归纳出学习分析技术的关键技术及分析模式,并以实例从不同用户视角包括管理者、辅导教师、学习者展示了学习分析技术在网络学习过程分析中的应用过程。",2013/2/15,2013
CJFD2013,数据挖掘在物流业的应用综述,肖娟;,浙江工业大学之江学院;,统计与决策,数据挖掘;;物流管理;;客户关系管理;;物流决策,"数据挖掘作为快速有效地从海量数据中提取有效信息的工具,在现代物流业得到了广泛的应用。文章从数据挖掘的基本技术、数据挖掘在物流需求预测、物流决策以及客户关系管理等方面的应用现状及存在的问题出发,对目前这一领域内的研究进行了回顾和评论,并对数据挖掘在物流的发展前景进行了展望。",2013/6/10,2013
CJFD2013,大数据研究综述,陶雪娇;胡晓峰;刘洋;,国防大学信息作战与指挥训练教研部;,系统仿真学报,大数据;;大数据技术;;数据挖掘;;挑战,"2010年,全球数据量跨入了ZB时代,据IDC预测,至2020年全球将拥有35ZB的数据量,大量数据实时地影响我们工作、生活,甚至国家经济、社会发展,大数据时代已经到来。大数据具有数据量巨大、数据类型多样、流动速度快和价值密度低的特点,大数据技术为我们分析问题和解决问题提供了新的思路和方法,其研究渐渐成为热点。阐述了大数据的相关概念、特点、大数据技术特别是在数据挖掘方面国内外发展状况以及我们在大数据时代面临的挑战。通过综述,对大数据有一个全面的认识,为下一步研究打下基础。",2013/7/25,2013
CJFD2012,面向大数据的海云数据系统关键技术研究,黄哲学;曹付元;李俊杰;陈小军;,中国科学院深圳先进技术研究院;深圳市高性能数据挖掘重点实验室;,网络新媒体技术,大数据系统;;大数据分析;;数据挖掘;;可视分析,"由于数据产生成本的急速下降,人类社会产生的数据不仅以指数级别增长,而且数据的结构变得日趋复杂,使得传统的数据分析技术遇到了极大的挑战。如何对大量复杂数据进行分析和挖掘,从中提取有价值的知识用于决策,已经成为产业界和学术界的广泛关注问题,在一些国家已上升到国家战略层面。本文介绍了大数据的基本概念、特征和面临的科学问题,总结了中国科学院战略性先导科技专项""面向感知中国的新一代信息技术研究""中""海云数据系统关键技术研究与系统研制""课题的一些先期成果,为开发大数据管理、分析和挖掘系统提供一些参考依据。",2012/11/15,2012
CJFD2015,教育数据挖掘研究进展综述,周庆;牟超;杨丹;,信息服务社会可信服务计算教育部重点实验室(重庆大学);重庆大学计算机学院;重庆大学软件学院;,软件学报,大数据;;教育环境;;交叉学科;;MOOCs;;ITS,"教育数据挖掘(educational data mining,简称EDM)技术运用教育学、计算机科学、心理学和统计学等多个学科的理论和技术来解决教育研究与教学实践中的问题.在大数据时代背景下,EDM研究将迎来新的转折点.为方便读者了解EDM的研究进展或从事相关研究和实践,首先介绍EDM研究的概貌、特点和发展历程,然后重点介绍和分析了EDM近年来的研究成果.在成果介绍部分,选取的研究成果大部分发表于2013年以后,包括以往较少涉及的几种新型教育技术.在成果分析部分,对近年来的典型案例作了分类、统计和对比分析,对EDM研究的特点、不足及发展趋势进行了归纳和预测.最后讨论了大数据时代下EDM面临的机...",2015/11/15,2015
CDFD2012,基于数据挖掘的Web应用入侵异常检测研究,郁继锋,,华中科技大学,数据挖掘;;Web应用;;入侵检测;;异常检测;;频繁模式挖掘;;关联分析;;聚类分析,"作为网络与信息安全领域的一项重要技术,入侵检测已经成为网络安全体系的一个重要组成部分。它通过分析从计算机系统和网络中关键点搜集的数据,从中找出违反安全策略的行为和被攻击的迹象。传统的误用检测方法对已知的攻击行为进行建模,形成规则库,对各种已知的攻击行为能很好的检测。误用检测的主要缺点是不能检测未知的攻击,漏检率高,需要经常更新特征库。异常检测首先总结出正常行为应该具有的特征轮廓,以这些行为轮廓进行训练,从而得到正常行为模型,一旦发现偏离了正常统计学意义上的行为即被认为是入侵。异常检测能检测到未知的攻击,适应性较好,它的主要缺陷在于误检率高。 因为数据挖掘技术能从海量审计数据中挖掘出正常...",2011/8/1,2011
CDFD2013,分布式环境中信息挖掘与隐私保护相关技术研究,贾哲,,北京邮电大学,分布式环境;;Web日志序列模式挖掘;;保护隐私的数据挖掘;;安全多方计算;;外包数据库;;保护隐私的权限控制,"随着互联网和存储技术的快速发展,网络用户数和应用规模迅速扩大,数据存储量呈现爆炸式的增长。在海量数据面前,也要求能够快速的进行管理和计算,提高响应速度。传统的单一服务器的存储模式,已无法满足大数据量存储和计算对性能和可靠性的要求。分布式存储和并行计算很好的解决了上述难题,不但能优化数据存储带来的性能和容量开销,还解决了数据不断增长的扩展性问题,具有良好的可拓展性。伴随着云计算时代的到来,Hadoop分布式计算平台,以其庞大的存储和计算能力,简便的计算模式,便捷的服务形式,得到了极其广泛的应用。越来越多的研究开始致力于向云计算的分布式环境中扩展,如数据挖掘、数据分析等涉及海量数据计算的领域,均开...",2012/5/1,2012
CDFD2013,数据挖掘环境中隐私保护数据共享混合方法研究,鲁万,,大连海事大学,数据挖掘;;隐私保护;;数据挖掘算法;;k-匿名模型;;安全多发面计算,"隐私保护是数据挖掘背景下非常重要的研究领域。这是在无限信息世界获得最佳隐私保护目的的知识收集的第一步。这个研究项目的阐述数据库知识发现,隐私保护数据挖掘的基础,K-匿名模型的隐私保护数据的共享和安全多方计算模型的数据共享。此外,本文还介绍了一些有用的数据挖掘算法,这些算法与隐私保护、隐私保护技术分类和隐私保护数据挖掘技术及应用紧密结合。隐私保护数据共享技术的混合方法为在隐私保护的数据挖掘环境下触摸混合方法论的细节打开了大门。基于文献的讨论,关于数据消毒和所做的K-anonimyzaton实验主要是是为了证明在论文后半部分所作报告提及的假设。 这篇论文焦点主要集中在数据挖掘中的隐私问题,...",2013/4/1,2013
CDFD2014,港口物流中的流程知识挖掘研究和智能优化设计,王英,,北京交通大学,港口物流;;智能物流;;过程挖掘;;数据挖掘;;流程知识;;工作流模型,"摘要：本文以港口物流流程为研究对象,将流程知识挖掘相关的前沿理论技术和智能物流发展中的实际管理问题紧密结合,融合智能物流、港口物流、业务流程管理、工作流建模、过程挖掘和数据挖掘等多种理论和方法,建立了包括港口物流流程模型构建、港口物流控制流分析、港口物流流程诊断分析等三个部分组成的港口物流流程知识挖掘理论方法体系。在此基础上,将物联网智能感知技术、流程知识挖掘和物流模拟仿真技术集成,提出了港口物流流程智能优化设计的集成方法框架。 首先,论文通过对智能物流、知识管理、数据挖掘、业务流程管理和过程挖掘等相关理论方法研究现状的梳理,提出由物流控制流知识、物流数据流知识、物流组织知识和物流风险...",2013/12/1,2014
CJFD2008,数据挖掘在供应链金融风险控制中的应用,谢江林;何宜庆;陈涛;,南昌大学系统工程研究所;,南昌大学学报(理科版),供应链金融;;数据挖掘;;风险控制;;信息增益分析;;特征属性,"""供应链金融""是近年来金融机构针对供应链上下游企业提供的一种全新的金融业务,这项业务在银行方面也存在一定的风险。针对由经销商造成的还款风险,利用数据挖掘技术获得一组低还款能力经销商的特征属性。金融机构能据此识别不同还款能力的经销商,并针对不同经销商制定不同的金融政策以控制和规避金融风险。",2008/6/25,2008
CMFD2005,基于支持向量机的数据挖掘技术研究,杨铁建,,西安电子科技大学,支持向量机;统计学习;数据挖掘;SMO算法,数据挖掘作为一种融合了人工智能、数据库和数理统计等学科特点的新兴技术，与机器学习和统计学习密切相关。它是从大量、复杂的数据中迅速获取新颖、有效的知识的过程。分类即通过由经验数据训练得到的分类器预测未知数据的归属，是模式识别、机器学习、统计分析等领域的一个基本问题，也是一种最常见的数据挖掘任务。 支持向量机作为一种新兴的统计学习算法，以其优秀的理论基础(结构最小化理论、核空间理论)脱颖而出。它是在统计学习理论基础上发展起来的一种通用学习机器，其关键的思想是利用核函数把一个复杂的分类任务通过核函数映射使之转化成一个在高维特征空间中构造线性分类超平面的问题。作为结构风险最小...,2005/1/1,2005
CMFD2006,基于聚类的数据挖掘技术在CRM中的研究与应用,王洪艳,,武汉大学,客户关系管理;数据挖掘;数据仓库;聚类;客户细分,"目前,市场竞争日益激烈,产品的同质化趋势越来越强,企业正在从“以产品为中心”的模式向“以客户为中心”的模式转移。在这种环境下,客户关系管理(Customer Relationship Management,简称CRM)已成为企业在激烈的市场竞争中取胜的法宝。越来越多的企业已经、正在或准备实施CRM战略,越来越多的供应商在计算机技术不断进步的基础上提出了各种CRM解决方案。企业领导的思想在进步,供应商的软件在不断完善。然而,我国CRM发展的现状表明CRM思想在国内的基础还是非常薄弱的,正是由于对CRM中管理思想理解的不透彻使得很多CRM项目不得不以失败而告终。 “好的...",2005/5/1,2005
