SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFD2014,大数据与云计算,何清;,中国科学院计算技术研究所;,科技促进发展,大数据;;云计算;;数据挖掘,"大数据(Big Data)这个概念近年来在越来越多的场合、被越来越多的人提及,并且经常和云计算联系在一起,云计算与大数据之间到底是什么关系成为热点话题。本专题报告包含以下四个方面内容:1.大数据的价值;2.大数据带来的挑战;3.大数据研究成果;4.云计算是大数据挖掘的主流方式。通过本报告阐述我们对大数据的理解,以及对大数据的价值的认识,探讨大数据处理与挖掘技术,论述以下观点:没有互联网就没有云计算模式,没有云计算模式就没有大数据处理技术,也就没有大数据挖掘技术。",2014/1/20,2014
cjfd2007,Web日志数据挖掘中数据预处理模型的研究与建立,赵莹莹;韩元杰;,桂林电子科技大学;桂林电子科技大学 广西桂林541004;广西桂林541004,现代电子技术,Web日志挖掘;;数据挖掘;;数据预处理;;用户标识;;会话标识,"数据的质量直的好坏接关系到数据挖掘的结果,因此数据预处理是Web日志数据挖掘首要的步骤,基于前期提出的几种数据预处理方法,提出了通用的Web日志挖掘的数据预处理模型,将Web日志数据的预处理分为5个步骤:数据清理、用户标识、会话标识、路径补充和格式化,并结合旅游网站进行了实例验证。证明该数据预处理模型是完全可行,并且具有良好的通用性和可扩展性。",2007/2/15,2007
cjfd2007,基于SQL Server 2005的高校人力资源数据挖掘的研究,宣军英;,嘉兴学院信息工程学院 浙江嘉兴314001,计算机系统应用,SQL Server 2005;;人力资源;;数据挖掘,"介绍了SQL Server 2005数据挖掘平台的优势和功能,提出了利用SQL Server 2005数据挖掘对高校人力资源数据源中的数据进行挖掘的方法,论述了挖掘模型对高校人力资源管理的支持。",2007/4/15,2007
cjfd2007,一种高效的数据流挖掘增量模糊决策树分类算法,王涛;李舟军;胡小华;颜跃进;陈火旺;,国防科学技术大学计算机学院;北京航空航天大学计算机学院;德雷塞尔大学信息科学与技术学院;国防科学技术大学计算机学院;国防科学技术大学计算机学院 长沙410073;北京100083;费城美国;长沙410073;长沙410073,计算机学报,数据流;;线索化二叉排序树;;连续属性;;模糊离散化;;增量;;VFDT,"数据流具有数据持续到达、到达速度快、数据规模巨大等特点,这些都给数据流挖掘领域的研究工作带来了新挑战,而其中分类算法更是当前的研究热点.Domingos等在VFDT中利用Hoeffding不等式很好地解决了在数据流上进行单遍扫描获取高精度决策树的问题.Gama等对VFDT进行扩展并实现了VFDTc,使系统能够处理连续属性.Peng等在传统数据挖掘环境下提出了基于模糊理论的连续属性平滑离散化方法.基于前述工作,作者设计并实现了一种基于线索化排序二叉树的增量模糊决策树分类算法fVFDT,其主要贡献有如下4点:(1)第一次设计并实现了数据流上的基于线索化二叉排序树(TBST)的连续属性处理方法.相比...",2007/8/15,2007
CMFD2015,基于核心网数据挖掘的移动通信用户行为分析及应用,熊伟,,北京邮电大学,核心网;;数据挖掘;;用户行为分析;;聚类分析;;数值建模,"随着移动通信技术的飞速发展,移动通信用户规模不断扩大,运营商的网络建设也趋于成熟。在网络运行维护过程中,运营商积累了海量的数据,并且以指数级规模不断增长。这些数据,尤其是核心网的数据中,蕴含着丰富的用户行为信息。因此如何从这些大数据中快速并精准地挖掘出对运营商有价值的用户行为信息,是运营商普遍面临的一个重要课题。在竞争日趋激烈的通信运营市场中,准确掌握用户行为信息对于运营商来说有极其重要的意义。 本论文针对于核心网的多种数据源,提出了一套普适的数据挖掘流程,结合移动通信用户行为的特殊性,尝试提出了一般的用户行为分析方法,然后结合运营商的现网采集数据进行了实际的数据挖掘操作,并且对挖掘结果...",2014/12/16,2014
CMFD2015,基于Hadoop的Web日志的分析平台的设计与实现,付伟,,北京邮电大学,Hadoop;;Web日志;;K-means;;数据挖掘,"随着互联网行业的快速发展,互联网用户在成指数级别地增长。而且大众用户的正常的工作和生活越来越依赖于互联网,对于那些互联网企业,海量用户的访问每天都会产生海量的Web日志信息,在这些Web日志中隐藏了巨大的商业信息。目前信息社会中准率先掌握了用户信息,谁就可以引领时代的发展。不仅如此,对Web日志的挖掘也可以改变人们的生活和工作习惯。 本文的研究内容主要包括以下几个方面： 对分布式技术进行了研究。主要深入研究了Hadoop分布式平台。近些年来,越来越多的企业、机构和个人对海量数据的研究产生了兴趣。其中Google公司可以说是大数据时代的开创者,Google公司的分布式平台Hadoop...",2015/1/3,2015
CDFD2003,基于商空间的构造性数据挖掘方法及应用,张燕平,,安徽大学,商空间;构造性机器学习;多侧面递进算法;股票预测,随着计算机模式识别技术的研究和发展，其应用范围也在不断拓展，这使得许多实际问题，如金融工程预测、基于内容的多媒体数据库检索等领域的识别分类成为可能。总结这类问题，可以发现它们表现出的共有特征：①属于海量数据的处理问题，问题的特征空间维数高，提供的样本数量大而且所涉及的类别数目多。②牵涉的因素很多，问题本身是个不完备信息系统。③采集的数据中存在着难以明确界定的噪音信息。 针对这类问题，本文展开了一系列的研究探讨，主要工作包括： 1．分析这类问题求解的一种可行方案是：用商空间法来合理地对复杂问题进行粒度描述，分解复杂问题...,2003/5/1,2003
CDFD2008,频繁模式挖掘算法与剪枝策略研究,徐玉生,,兰州大学,数据挖掘;;关联规则分析;;频繁模式挖掘;;频繁项集挖掘;;频繁序列挖掘;;枚举空间;;剪枝策略;;最大频繁模式挖掘;;频繁闭模式挖掘,"频繁模式挖掘是一类基本的数据挖掘问题,可以广泛应用于关联规则分析、相关性分析、孤立点分析、分类和聚类等多种数据挖掘任务,是一个具有重要理论意义和广阔应用前景的课题。本文对频繁模式挖掘问题进行了深入研究和探索,主要内容如下: 1.对频繁序列挖掘问题进行深入研究,探讨典型的挖掘算法—GSP、SPADE、SPAM、PrefixSpan,在此基础上,应用新的扩展策略,提出了一种全新的、高效的频繁序列挖掘算法—FINDER。该算法采用深度优先策略枚举搜索空间,使用垂直位图与水平位图向量格式表示项集、事务数据库、序列,摒弃了以往算法所采用的复杂的散列技术和数据库的多遍扫描。FINDER算...",2008/5/1,2008
CJFD2003,空间数据挖掘发展研究,邹力鹍;王丽珍;何婧,云南大学信息学院计算机科学与工程系;云南大学信息学院计算机科学与工程系;云南大学信息学院计算机科学与工程系 昆明650091 ;昆明650091 ;昆明650091,计算机工程与应用,空间数据挖掘;;空间数据库;;GeoMiner,"空间数据挖掘是指对空间数据库中非显式存在的知识、空间关系或其它有意义的模式等的提取,在地理信息系统、地理市场、遥感、图像数据勘测、医学图像处理、导航、交通控制、环境研究等各种领域有着广泛的应用。该文从空间数据挖掘的定义、过程、特征和任务等方面对空间数据挖掘技术进行了研究,并介绍了一个空间数据挖掘原型—GeoMiner和未来的研究方向。",2003/4/11,2003
CJFD2003,基于数据挖掘决策树的犯罪风险预测模型,金光;钱家麒;钱江波;黄蔚民,宁波大学信息学院;宁波市公安局;东南大学计算机系 ;宁波市公安局 宁波315211 ;宁波315040 ;宁波315040,计算机工程,数据挖掘;;犯罪行为分析;;决策树,简要介绍了数据挖掘技术在犯罪行为分析上的利用和决策树构造方法，结合一个犯罪人员数据集市的样本数据，采用决策树分析方法进行了尝试性的数据挖掘，给出了一个较为成功的挖掘思路和模式，得出了有效的分析结论。,2003/5/5,2003
