SrcDatabase-来源库,Title-题名,Author-作者,Organ-单位,Source-文献来源,Keyword-关键词,Summary-摘要,PubTime-发表时间,Year-年
CJFDTEMP,云计算安全风险因素挖掘及应对策略探讨,张良;,贵州省信息中心;,电子世界,云计算;;安全风险;;因素挖掘;;应对策略,"云计算是一种新的服务形式,但其面临的安全风险也要比传统的网络信息要大。基于此,本文主要分析了云计算安全的重要性,并着重探讨了云计算的主要存在的安全风险,同时提出了相应的应对措施,以供相关人员参考。",2016/9/23,2016
CJFDTEMP,刍议面向大数据分析的分布式文件系统关键技术,袁继会;,贵州省信息中心;,电子世界,大数据;;分布式;;关键技术,"随着我国互联网应用技术水平的提高,互联网企业正在加强对数据处理能力的研究与提高,以便于能够很好地应对多样化和大规模信息数据的处理需求。基于当前的发展新形势,数据储存量大是典型特征,现阶段分布式文件系统的传统性能已经不能满足当前的发展需求,为此,需要注重数据的扩展以及操作的一致性。本文就面向大数据分析的分布式文件系统关键技术进行分析。",2016/9/23,2016
CJFDTEMP,基于自然语言处理的知识检索算法研究,贾润亮;,太原理工大学财经学院信息系;,微电子学与计算机,自然语言处理;;知识检索;;半监督算法,"当前的知识检索存在检索速度慢、效率低的问题,对此提出一种基于自然语言处理的知识检索方式,利用半监督算法进行自然语言描述,针对全部知识检索对象构建无向图,在该无向图中,设计一种标签传递方法,将有标记的数据样本传递到其余没有标记的数据样本中,完成无向图中所有数据标记的过程.利用TextRank方式,针对所有标记后的数据选取主题词,根据检索对象中的主题词实现知识检索的过程.实验结果表明,利用此算法进行知识检索,能够有效提高知识检索的速度,在短时间内完成知识检索的过程,提高用户的满意度.",2016/10/5,2016
CJFDTEMP,语义减法聚类研究,马慧;赵捧未;王婷婷;,西安电子科技大学经济与管理学院;鲁东大学信息与电气工程学院;,计算机工程与科学,减法聚类;;AFS理论;;隶属度矩阵;;语义强度期望,"针对传统减法聚类算法需要人工输入参数τ1和τ2的不足,对算法进行改进。引入AFS理论,通过隶属度矩阵自动确定密度半径τ1、半自动确定权重参数τ2,提出了改进的语义减法聚类算法SDSCM,并在Iris和Wine数据集上将其与FCM、KMEANS算法进行比较实验。实验结果表明,SDSCM在评价指标语义强度期望上高于FCM、KMEANS 1%~5%。SDSCM的SPT指标低于FCM、KMEANS,算法的类间分离度有待提高。SDSCM较好地解决了传统减法聚类人工输入参数τ1和τ2带来的弊端,并给出了更贴近用户给定语义的聚类。",2016/9/15,2016
CJFDTEMP,安全社区应急服务平台的框架设计研究,薛露;卢智星;,广东省科技基础条件平台中心;,现代计算机(专业版),安全社区;;应急管理;;信息系统,"安全社区建设涉及新一代信息技术、社区突发事件应急管理等多领域的交叉。由于突发事件的预防和处置是在基层,因此,开发简单、实用的社区应急服务系统,对于提高社区管应急服务能力和应急效果,建设安全社区具有重要意义。通过对安全社区建设现状的分析,明确应急服务平台设计原则,进行安全社区应急服务平台建设内容分析,应用UML进行安全社区应急服务平台用例视图、开发视图、场景视图设计,解决数据交互问题,为后续的模块开发工作提供依据,并对大数据在社区应急服务系统应用进行展望。",2016/9/25,2016
CJFDTEMP,浅析中文分词方法,沈静;,漳州职业技术学院计算机工程系;,漳州职业技术学院学报,中文分词;;文本挖掘;;歧义切分,"中文分词是中文文本挖掘和信息处理的基础环节,而中文文本挖掘首先面临的是中文的分词问题。中文分词的方法主要有基于字符串匹配的分词方法、基于统计的分词方法和基于理解的分词方法三种,第一种分词方法简单、快捷,但对词典的完备性要求很高;第二种充分利用文本信息,但完备性较差;第三种还处于理论研究阶段。本文对现有的三种中文分词方法进行了研究和对比。",2016/9/15,2016
CJFDTEMP,大数据征信下企业风控模型的现状与发展,饶大海;,南昌航空大学;,技术与市场,大数据;;企业风控模型;;现状;;发展,"随着大数据技术在各行业的深入应用,中国金融行业对风险管理的要求日益提高,企业风控模型面临着日益迫切的转型需求。就大数据征信下企业风控模型的现状与发展进行探讨。",2016/10/15,2016
CJFDTEMP,基于粒计算的点抽稀算法及其应用,贾晓霞;袁晓娟;郑扬飞;,华北计算技术研究所公共安全信息化事业本部;,软件,粒计算;;等价粒;;点抽稀;;电子地图,"近年来,随着地理信息的发展,POI数据量越来越大,导致在电子地图配图时出现严重的叠加问题,为了更好地显示地名/地址数据及产生更好地配图效果,需要对图层数据进行抽稀,图层数据抽稀首先需要挖掘数据的关联规则并建立模型,而粒计算可以做到这一点,所以本文从等价粒的角度出发,提出了基于粒计算的点抽稀算法,本文不仅给出基于粒计算的点抽稀算法的文字描述步骤和实现该算法的SQLServer存储过程并且给出了实例说明,证明基于粒计算的点抽稀算法具有简单、高效、实用的特点,能满足实际需要。",2016/7/15,2016
CJFDTEMP,IT技术在台州智慧城市建设中的应用思考,沈利迪;,台州职业技术学院电信学院;,信息通信,智慧城市;;IT技术;;应用,"随着IT技术的迅猛发展,物联网、云计算、大数据、移动互联网等新一代信息技术应运而生。文章立足浙江台州智慧城市建设发展的方向,介绍了IT相关技术的概况以及这些技术在智慧城市建设各个领域的应用,构建了基于IT技术的智慧城市的架构,从IT技术角度提出了智慧城市建设面临的问题及解决方案。",2016/9/15,2016
CJFDTEMP,融合加权动态权威度和兴趣度的专家推荐方法,王甜;曾承;,武汉大学软件工程国家重点实验室;,小型微型计算机系统,动态权威度;;LDA模型;;专家推荐;;知识库;;问答系统,"问答系统是目前热门的知识库构建方式之一.然而,当前的问答系统普遍采用专家自主回答或分类随机推荐方式,问题回答的准确率、及时性均较低,导致知识库中噪音知识泛滥.针对以上现象,提出一种基于加权动态权威度的专家推荐方法.该方法首先通过分析专家历史回答内容,并将专家加权动态权威度与LDA模型相结合,构建专家偏好档案;然后及时、精准地将新问题推荐给潜在最适宜专家,从而达到提高问答系统知识库准确性的效果.为了验证本文方法的可行性和有效性,我们使用新浪爱问真实数据集进行分析实验,实验结果表明该方法能够有效地提高专家推荐的准确率.",2016/10/15,2016
